00:01.527  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:02.096  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:02.585  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:03.039  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:03.507  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:03.972  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:04.503  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:04.996  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:05.488  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:05.981  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:06.439  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:06.893  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:07.347  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:07.798  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:08.220  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:08.661  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:09.108  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:09.545  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:09.978  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:10.417  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:10.840  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:11.237  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:11.673  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:12.111  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:12.545  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:13.194  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:13.637  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:14.076  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:14.520  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:14.920  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:15.334  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:15.750  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:16.141  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:16.526  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:16.926  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:17.341  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:17.772  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:18.219  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:18.652  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:19.075  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:19.490  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:19.902  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:20.313  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:20.735  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:21.151  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:21.579  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:22.016  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:22.451  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:22.893  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:23.330  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:23.778  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:24.150  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:24.866  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:25.304  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:25.752  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:26.178  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:26.577  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:27.007  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:27.431  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:27.877  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:28.316  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:28.761  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:29.199  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:29.642  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:30.074  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:30.509  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:30.936  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:31.320  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:31.734  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:32.159  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:32.583  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:32.986  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:33.384  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:33.780  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:34.185  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:34.577  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:34.977  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:35.401  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:36.107  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:36.509  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:36.940  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:37.386  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:37.840  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:38.293  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:38.736  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:39.174  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:39.615  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:40.044  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:40.482  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:40.918  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:41.343  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:41.797  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:42.234  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:42.640  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:43.063  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:43.498  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:43.924  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:44.361  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:44.790  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:45.230  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:45.657  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:46.081  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:46.476  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:46.879  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:47.581  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:48.030  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:48.460  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:48.892  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:49.321  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:49.723  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:50.135  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:50.556  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:51.010  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:51.451  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:51.898  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:52.332  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:52.775  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:53.196  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:53.596  render           | Saved: '/tmp/clearvla_render_opaque.png'
