00:02.111  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:02.699  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:03.142  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:03.591  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:04.038  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:04.460  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:04.860  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:05.330  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:05.826  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:06.311  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:06.841  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:07.296  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:07.731  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:08.111  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:08.653  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:09.186  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:09.807  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
[opaque] 1/300 episodes, 17 frames, 0.2 min, 1.85 fps
00:10.638  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:11.042  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:11.505  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:12.062  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:12.505  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:12.916  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:13.367  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:14.260  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
00:14.972  render           | Saved: '/tmp/clearvla_render_opaque_wrist_36730.png'
