00:02.627  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:03.284  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:03.938  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:04.557  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:05.111  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:05.759  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:06.311  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:06.918  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:07.521  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:08.137  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:08.767  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:09.311  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:09.919  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:10.418  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:11.074  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:11.613  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:12.182  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:12.652  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:13.311  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:13.859  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:14.422  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:14.964  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:15.561  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:16.102  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:16.717  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:17.316  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:17.860  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:18.375  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:18.876  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:19.393  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:19.929  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:20.499  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
[opaque] 1/450 episodes, 32 frames, 0.3 min, 1.61 fps
00:21.617  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:22.215  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:22.808  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:23.303  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:23.884  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
00:24.372  render           | Saved: '/tmp/clearvla_render_opaque_front_29770.png'
